source_TF,target_gene,log2FC,culture_condition,evidence
FOXK2,SPP1,0.6272795097646923,Rest,kNN_predicted
FOXN1,BAIAP2L1,0.6420090263431432,Rest,kNN_predicted
FOXN1,IRF6,0.5834877829723664,Rest,kNN_predicted
FOXN1,LSR,0.6115522651142324,Rest,kNN_predicted
FOXN1,SPINT1,0.5184127563482321,Rest,kNN_predicted
FOXN1,SPINT2,0.5979797258412654,Rest,kNN_predicted
FOXO6,CSF2RB,-0.5765331280688165,Rest,kNN_predicted
FOXP1,L1CAM,0.6609109658702154,Rest,kNN_predicted
FOXP2,GNLY,-0.5873399278898366,Rest,kNN_predicted
FOXP2,STON2,0.5470694767177785,Rest,kNN_predicted
FOXQ1,GNLY,-0.5376062398370951,Rest,kNN_predicted
FOXS1,FAM20C,0.6274321845414772,Rest,kNN_predicted
FOXS1,KIF26A,0.5517465196298679,Rest,kNN_predicted
FOXS1,NEIL1,0.500320975602635,Rest,kNN_predicted
FOXS1,PMCH,0.6024192233622826,Rest,kNN_predicted
FOXS1,ZNF347,0.5596947922530534,Rest,kNN_predicted
FOXS1,ZNF844,0.6581768332383403,Rest,kNN_predicted
FOXS1,ZSCAN18,0.7124421097274976,Rest,kNN_predicted
GATA6,IFNG,0.520145724262978,Rest,kNN_predicted
GATAD2A,SBF2,0.6318581068736051,Rest,kNN_predicted
GBX1,EOMES,0.5095997626431574,Rest,kNN_predicted
GBX1,LYZ,-0.9671268268819434,Rest,kNN_predicted
GCM2,IFNG,0.504629188830283,Rest,kNN_predicted
GCM2,IL3,0.7138343164965341,Rest,kNN_predicted
GFI1B,FAM20C,0.5913536506585366,Rest,kNN_predicted
GFI1B,GZMH,-0.5139325339778658,Rest,kNN_predicted
GFI1B,KIF26A,0.5200200542146326,Rest,kNN_predicted
GFI1B,ZNF347,0.5275112861723699,Rest,kNN_predicted
GFI1B,ZNF844,0.6203304240741222,Rest,kNN_predicted
GFI1B,ZSCAN18,0.6714753448264887,Rest,kNN_predicted
GLI1,SPP1,0.5130375367090144,Rest,kNN_predicted
GLI3,IL2,0.7481229521774866,Rest,kNN_predicted
GLIS1,LYZ,-0.9412586450077786,Rest,kNN_predicted
GLIS1,TOX2,0.5635853240765936,Rest,kNN_predicted
GLIS2,IL2,0.527739399183157,Rest,kNN_predicted
GLIS2,IL5,0.5153656836465182,Rest,kNN_predicted
GLMP,CCL4,0.6317914859242673,Rest,kNN_predicted
GLMP,IFNG,0.5090438746322457,Rest,kNN_predicted
GLMP,NR4A1,0.517924897011254,Rest,kNN_predicted
GRHL1,IL5,0.5039530716891109,Rest,kNN_predicted
GRHL3,DTX3,-0.5209685831245985,Rest,kNN_predicted
GSC,PMCH,0.5798380640841453,Rest,kNN_predicted
GSC2,GNLY,-0.5795131947254006,Rest,kNN_predicted
GTF2B,LYZ,-0.5158503836110315,Rest,kNN_predicted
GTF2B,PYROXD2,0.5221137062760861,Rest,kNN_predicted
GTF2B,TIMP2,0.539988457681156,Rest,kNN_predicted
GTF2IRD1,HHLA2,0.5179056710587157,Rest,kNN_predicted
GTF2IRD1,RGS6,0.5375624578182931,Rest,kNN_predicted
GTF2IRD1,TSHR,0.5107428053307685,Rest,kNN_predicted
GTF2IRD2,STON2,0.5515577458822016,Rest,kNN_predicted
HAND1,HMOX1,0.5926828185165615,Rest,kNN_predicted
HAND1,PMCH,0.5800113588445802,Rest,kNN_predicted
HES3,XCL2,0.5356055426030768,Rest,kNN_predicted
HES5,FAM20C,0.88307050931904,Rest,kNN_predicted
HES5,KIF26A,0.5061446408494943,Rest,kNN_predicted
HES5,MEST,0.5095413449709002,Rest,kNN_predicted
HES5,ZNF347,0.5134359883235751,Rest,kNN_predicted
HES5,ZNF844,0.6037784834571409,Rest,kNN_predicted
HES5,ZSCAN18,0.6535587319988595,Rest,kNN_predicted
HESX1,CCL1,0.5201257220883173,Rest,kNN_predicted
HESX1,CFH,0.5501909017784508,Rest,kNN_predicted
HEY1,ADAMTS1,-0.6743375951315073,Rest,kNN_predicted
HEY1,EOMES,0.5239947326605341,Rest,kNN_predicted
HEY1,GNLY,-0.6968805021255005,Rest,kNN_predicted
HEY1,LMNA,-0.6018678909172468,Rest,kNN_predicted
HEY1,LYZ,-1.4503512587546197,Rest,kNN_predicted
HEY1,NEDD4L,-0.5057174265057407,Rest,kNN_predicted
HEY1,RTKN2,-0.6394238697196375,Rest,kNN_predicted
HEYL,IFIT2,0.5519923836372405,Rest,kNN_predicted
HHEX,DOK5,0.6204100036450414,Rest,kNN_predicted
HHEX,GZMH,0.7049567569732903,Rest,kNN_predicted
HHEX,GZMK,0.7433961267829312,Rest,kNN_predicted
HHEX,LYZ,-0.9183761262696781,Rest,kNN_predicted
HIC1,BAIAP2L1,0.585590355884609,Rest,kNN_predicted
HIC1,IRF6,0.5322118606826013,Rest,kNN_predicted
HIC1,LSR,0.5578100834658254,Rest,kNN_predicted
HIC1,SPINT2,0.5454302760534814,Rest,kNN_predicted
HIC2,EOMES,0.5837720811343886,Rest,kNN_predicted
HIF1A,CRTAM,0.6806890207105158,Rest,kNN_predicted
HIF1A,ZNF677,0.5373375424099163,Rest,kNN_predicted
HIF1A,ZSCAN18,0.5310895571607303,Rest,kNN_predicted
HIVEP1,ATP9A,0.5014805602946205,Rest,kNN_predicted
HIVEP1,CCL1,0.6378918114065978,Rest,kNN_predicted
HIVEP1,COL6A2,0.5305438814248631,Rest,kNN_predicted
HIVEP1,CRTAM,0.5342688627777273,Rest,kNN_predicted
HIVEP1,GNG4,0.7061225702798712,Rest,kNN_predicted
HIVEP1,ZSCAN18,0.5012020766303947,Rest,kNN_predicted
HIVEP3,TTBK1,0.5140175219670998,Rest,kNN_predicted
HLF,GNG4,0.6224055975375042,Rest,kNN_predicted
HLF,PSD,0.511760991663723,Rest,kNN_predicted
HLF,RDH10,0.5374530141540149,Rest,kNN_predicted
HLF,SLC35G2,0.7843043311786896,Rest,kNN_predicted
HMBOX1,CTSW,0.5470834723048712,Rest,kNN_predicted
HMBOX1,FCER1G,0.5356676855665624,Rest,kNN_predicted
HMBOX1,FXYD2,0.6305728942573514,Rest,kNN_predicted
HMBOX1,PLXNA4,-0.5839154253964789,Rest,kNN_predicted
HMBOX1,TIMP2,0.5048441458462835,Rest,kNN_predicted
HMGA1,GZMK,0.505418632994178,Rest,kNN_predicted
HMGA1,LYZ,-0.502533238005691,Rest,kNN_predicted
HMGA2,ZSCAN18,0.5174017646043788,Rest,kNN_predicted
HOXA1,MT1G,0.563095127919219,Rest,kNN_predicted
HOXA1,MT1H,0.7386421388409297,Rest,kNN_predicted
HOXA10,GNG8,0.5374601040751389,Rest,kNN_predicted
HOXA10,SLC35G2,0.5075313445662801,Rest,kNN_predicted
HOXA11,BAIAP2L1,0.5578065274534356,Rest,kNN_predicted
HOXA11,IRF6,0.5069606199856751,Rest,kNN_predicted
HOXA11,LSR,0.5313443134946293,Rest,kNN_predicted
HOXA11,SPINT2,0.5195518764884046,Rest,kNN_predicted
HOXA2,FAM20C,0.6209830869595975,Rest,kNN_predicted
HOXA2,KIF26A,0.546075361482066,Rest,kNN_predicted
HOXA2,SPP1,0.5161346687673533,Rest,kNN_predicted
HOXA2,STAG3,0.5198515972652127,Rest,kNN_predicted
HOXA2,ZNF347,0.5539419373306562,Rest,kNN_predicted
HOXA2,ZNF844,0.6514117250270224,Rest,kNN_predicted
HOXA2,ZSCAN18,0.7051192327692004,Rest,kNN_predicted
HOXA3,GNLY,-0.900992208912107,Rest,kNN_predicted
HOXA3,SPP1,0.6223336044956175,Rest,kNN_predicted
HOXA5,IL2,0.5652074467122238,Rest,kNN_predicted
HOXA5,TIMP2,0.5132025605475443,Rest,kNN_predicted
HOXA7,ATP9A,0.5075396263240922,Rest,kNN_predicted
HOXA7,CCL1,0.8187171178215406,Rest,kNN_predicted
HOXA7,COL6A2,0.5369541008104298,Rest,kNN_predicted
HOXA7,CRTAM,0.5407240887094348,Rest,kNN_predicted
HOXA7,DSG2,0.5038863455098592,Rest,kNN_predicted
HOXA7,GNG4,0.5168656379976754,Rest,kNN_predicted
HOXB3,CCL1,0.6086101269482682,Rest,kNN_predicted
HOXB3,CRTAM,0.853782531920006,Rest,kNN_predicted
HOXB3,FASLG,0.7418709317881262,Rest,kNN_predicted
HOXB3,NR4A1,0.5297364169190016,Rest,kNN_predicted
HOXB3,SDC4,0.658074453416123,Rest,kNN_predicted
HOXB5,GNLY,-0.5506171447392721,Rest,kNN_predicted
HOXB5,STON2,0.5550880739532382,Rest,kNN_predicted
HOXB6,IL5,0.5083088515063054,Rest,kNN_predicted
HOXB9,GNLY,0.8978110113061921,Rest,kNN_predicted
HOXB9,WHRN,0.6561265598904112,Rest,kNN_predicted
HOXC10,IGHM,0.5582028005913033,Rest,kNN_predicted
HOXC11,CCL1,0.5176121109373759,Rest,kNN_predicted
HOXC11,CFH,0.5475319946582564,Rest,kNN_predicted
HOXC4,CCL1,0.6093321752094935,Rest,kNN_predicted
HOXC4,COL6A2,0.5067904173277425,Rest,kNN_predicted
