candidate_TF,neighbor_rank,neighbor_TF_in_perturbseq_rest,distance,similarity_approx
ARID5B,3,REST,0.38227527777749915,0.6177247222225009
ARID5B,4,ZNF35,0.3892820062676421,0.6107179937323579
ARID5B,5,CSRNP1,0.39370363354743454,0.6062963664525655
ARID5B,6,ZNF180,0.43119786212688105,0.568802137873119
ARID5B,7,SETDB1,0.4394731421268179,0.5605268578731821
ARID5B,8,BATF,0.4395517517347026,0.5604482482652974
ARID5B,9,NFE2L1,0.4442362992482538,0.5557637007517462
ARID5B,10,STAT3,0.45546439887112167,0.5445356011288783
ATF2,1,MYC,0.20238233973667363,0.7976176602633264
ATF2,2,ZNF552,0.20923693802338572,0.7907630619766143
ATF2,3,ZBED1,0.27447903267795093,0.7255209673220491
ATF2,4,POU6F1,0.3094166835850177,0.6905833164149823
ATF2,5,ZNF658,0.31545095008567836,0.6845490499143216
ATF2,6,ZNF354C,0.3270114076093734,0.6729885923906266
ATF2,7,ATF7,0.33949302032292583,0.6605069796770742
ATF2,8,GATA3,0.3405549250518144,0.6594450749481856
ATF2,9,THRA,0.3967410464601979,0.6032589535398021
ATF2,10,ZNF561,0.407685614207837,0.592314385792163
ATF3,1,FBXL19,0.12254695376378488,0.8774530462362151
ATF3,2,ZHX3,0.17761433690673678,0.8223856630932632
ATF3,3,NFE2L1,0.22181215495462536,0.7781878450453746
ATF3,4,ZNF398,0.22783989900679902,0.772160100993201
ATF3,5,POGK,0.23818722550552507,0.7618127744944749
ATF3,6,ZNF710,0.24136806823510537,0.7586319317648946
ATF3,7,ZNF35,0.24474687795913774,0.7552531220408623
ATF3,8,ZNF260,0.25304430965955527,0.7469556903404447
ATF3,9,TP73,0.26035946588679315,0.7396405341132068
ATF3,10,NR4A1,0.2607068422369978,0.7392931577630022
ATF6,1,CUX1,0.2270977405926291,0.7729022594073709
ATF6,2,ZNF14,0.25329206324935927,0.7467079367506407
ATF6,3,THAP11,0.29989148504867713,0.7001085149513229
ATF6,4,MYNN,0.30444539352750477,0.6955546064724952
ATF6,5,FOXP3,0.3768867879583847,0.6231132120416153
ATF6,6,ZNF627,0.38713632888168037,0.6128636711183196
ATF6,7,ZBTB3,0.39004056057488123,0.6099594394251188
ATF6,8,ZBTB42,0.4231254990546599,0.5768745009453401
ATF6,9,ZNF613,0.4495070224117155,0.5504929775882845
ATF6,10,KAT7,0.4586707523523944,0.5413292476476056
