source_TF,target_gene,log2FC,culture_condition,evidence
GTF2B,FCER1G,0.5482053202235129,Stim8hr,kNN_predicted
GTF2B,FCGBP,0.5591274887468286,Stim8hr,kNN_predicted
GTF2B,FGD2,0.5057456405597929,Stim8hr,kNN_predicted
GTF2B,GNLY,0.6503982937028111,Stim8hr,kNN_predicted
GTF2B,IL22,-0.9904551144895518,Stim8hr,kNN_predicted
GTF2B,MYO18B,0.5086403190902788,Stim8hr,kNN_predicted
GTF2B,ODAPH,0.591717671566704,Stim8hr,kNN_predicted
GTF2B,S100P,0.5031040415243273,Stim8hr,kNN_predicted
GTF2B,TEX29,0.6546367138777466,Stim8hr,kNN_predicted
GTF2IRD1,IL10,-0.6722569246385472,Stim8hr,kNN_predicted
GTF3A,IL22,-0.5794959627632249,Stim8hr,kNN_predicted
GTF3A,IL6,0.5345384207498048,Stim8hr,kNN_predicted
GTF3A,MT1H,0.7136504105004366,Stim8hr,kNN_predicted
GZF1,IL10,-0.6479816452570759,Stim8hr,kNN_predicted
HAND1,CLCF1,0.7958503227663744,Stim8hr,kNN_predicted
HAND1,HMOX1,0.5448238516487546,Stim8hr,kNN_predicted
HAND1,IL6,0.5281723214142813,Stim8hr,kNN_predicted
HAND2,PTGS2,0.5156189397450177,Stim8hr,kNN_predicted
HELT,IL22,-0.501633227562437,Stim8hr,kNN_predicted
HES1,IL6,0.5071569952023427,Stim8hr,kNN_predicted
HES3,IL22,-0.5482742186395277,Stim8hr,kNN_predicted
HES3,IL5,0.5500022002815664,Stim8hr,kNN_predicted
HES3,TGFB1I1,0.5021656686290357,Stim8hr,kNN_predicted
HES5,FAM20C,0.5235231508679309,Stim8hr,kNN_predicted
HES5,ZNF347,0.5076732261934183,Stim8hr,kNN_predicted
HES5,ZNF844,0.5869790259093327,Stim8hr,kNN_predicted
HES5,ZSCAN18,0.6146024070469063,Stim8hr,kNN_predicted
HES7,GNLY,-0.5892150439432933,Stim8hr,kNN_predicted
HES7,IL22,-1.063234353480272,Stim8hr,kNN_predicted
HES7,IL3,-0.5466069977857615,Stim8hr,kNN_predicted
HES7,IL5,-0.6671370079904383,Stim8hr,kNN_predicted
HESX1,PLK1,-0.5008008737998914,Stim8hr,kNN_predicted
HEY1,ADGRG5,-0.5472210879447459,Stim8hr,kNN_predicted
HEY1,CST6,-0.5590384329781483,Stim8hr,kNN_predicted
HEY1,CXCL8,-0.6348387659884199,Stim8hr,kNN_predicted
HEY1,GPR15,-0.5503838566113597,Stim8hr,kNN_predicted
HEY1,IL10,-0.8462716113900459,Stim8hr,kNN_predicted
HEY1,IL13,-0.5893237048058245,Stim8hr,kNN_predicted
HEY1,IL22,-1.2654126521935707,Stim8hr,kNN_predicted
HEY1,IL26,-0.5931083708841407,Stim8hr,kNN_predicted
HHEX,IL22,-0.9884328598750718,Stim8hr,kNN_predicted
HHEX,PLEK,0.6158544839855473,Stim8hr,kNN_predicted
HIC1,BAIAP2L1,0.5595056974566655,Stim8hr,kNN_predicted
HIC1,LSR,0.5951772129912686,Stim8hr,kNN_predicted
HIC2,IL3,-0.5466003558276672,Stim8hr,kNN_predicted
HIC2,IL5,-0.6915102896059425,Stim8hr,kNN_predicted
HIF3A,CLIC2,0.5274706339189491,Stim8hr,kNN_predicted
HIF3A,IL22,-0.5577249561680702,Stim8hr,kNN_predicted
HIF3A,IL5,-0.502886978479322,Stim8hr,kNN_predicted
HINFP,CD8A,0.5981054298162563,Stim8hr,kNN_predicted
HINFP,IL17RB,1.2137140335112808,Stim8hr,kNN_predicted
HIVEP1,IL17F,1.4038438471572392,Stim8hr,kNN_predicted
HIVEP1,ZSCAN18,0.5305095114128369,Stim8hr,kNN_predicted
HIVEP2,IL22,-0.5532424820797305,Stim8hr,kNN_predicted
HIVEP3,IL22,-0.5101729830828964,Stim8hr,kNN_predicted
HKR1,IGSF3,0.5445748768666107,Stim8hr,kNN_predicted
HLF,ARHGAP23,0.5139374973259199,Stim8hr,kNN_predicted
HLF,BVES,0.5035318650999674,Stim8hr,kNN_predicted
HLF,IL22,-0.5230142446289855,Stim8hr,kNN_predicted
HLF,SYP,0.5552293999221123,Stim8hr,kNN_predicted
HLF,TGFB1I1,0.5427088061894824,Stim8hr,kNN_predicted
HLF,ZP3,0.5174742796560121,Stim8hr,kNN_predicted
