tf,target,importance
ATF3,DDX31,0.3046295706568748
ATF3,DDX60,0.0882538118525683
ATF3,DDX60L,0.1085734146332099
ATF3,DEDD2,0.4703270183940951
ATF3,DLST,0.1112265899337283
ATF3,DMKN,0.4446372636553709
ATF3,DNAAF1,0.520956711950041
ATF3,DNAH10,0.1327255795927874
ATF3,DNAH12,0.0685787634950622
ATF3,DNAJA1,0.0265500571007835
ATF3,DNAJA4,1.3849626807341933
ATF3,DNAJB1,0.1000319703637784
ATF3,DNAJC18,0.1397413408832757
ATF3,DNAL1,0.2668238959902362
ATF3,DNALI1,0.1150940383615287
ATF3,DRC3,0.0544730697112436
ATF3,DSTN,0.0377733336652472
ATF3,DUSP1,0.0805296234432239
ATF3,DUSP10,0.196746947536497
ATF3,EFCAB1,0.13101352022465
ATF3,EIF4EBP1,0.0476699274251814
ATF3,EML1,2.691836066906569
ATF3,EPHX1,0.1343993809247498
ATF3,ERGIC3,0.0192797349040418
ATF3,EZR,0.0396424991221824
ATF3,F11R,0.1590354763486208
ATF3,FABP6,0.0510044877712519
ATF3,FAM129B,0.0638004290498392
ATF3,FAM183A,0.0521560828715701
ATF3,FAM184A,0.1650432155598833
ATF3,FAM216B,0.1406312015430861
ATF3,FAM92B,0.5333900102012653
ATF3,FARS2,0.1111712945909239
ATF3,FHAD1,0.5979810147295146
ATF3,FKBP15,0.1244595125749772
ATF3,FOS,0.1183703753391292
ATF3,FOXC1,0.3570784582574104
ATF3,FTH1,0.2232286991546742
ATF3,FXR1,0.1106868935752341
ATF3,FXYD3,0.4166348419537939
ATF3,GADD45G,0.0951158070711735
ATF3,GALNT5,0.0184279521592537
