source_TF,n_target_genes,n_edges,log2FC_mean,log2FC_std,log2FC_min,log2FC_max,adj_pval_min,adj_pval_mean,adj_pval_median,culture_condition
DOT1L,253,253,0.6366784559675942,1.1345397790636502,-2.5162237774330123,4.242658806573629,1.4301547671716558e-07,0.0197482226207264,0.0174481464286479,Stim48hr
DOT1L,103,103,1.0136419419189655,1.009163798521771,-4.055938045982099,3.020241253648812,2.0055920884655054e-07,0.0249571357989125,0.0240216355380569,Stim8hr
DR1,65,65,-0.1015734419418658,0.618482215119028,-1.7359046101203015,1.2035842747590912,9.694395331469944e-15,0.0224603893674614,0.0159593149553799,Rest
DR1,374,374,0.0283277044624721,0.3453538196463873,-0.9911898777506208,1.9318833999646223,9.645619206805612e-25,0.0208684918342745,0.0178383688797627,Stim48hr
DR1,249,249,0.1574159769227662,0.6515514326527768,-2.3535342691910106,2.3818433020744765,1.0571245829278627e-32,0.0196005585919242,0.0185936559811174,Stim8hr
DZIP1,85,85,0.4485573851525481,0.6149605682115813,-2.2707622147485345,2.406398340121209,5.227485967204144e-108,0.024487668105763,0.0251077371078235,Stim8hr
E2F1,94,94,-0.2383775763368506,0.6021289082198489,-1.379553413355877,1.7012586486984629,0.0001867522657926,0.0265907196331466,0.0252751717595939,Rest
E2F1,246,246,0.0190413751598878,0.4417433433971192,-0.8128045001142699,1.4092877832276969,2.2241249486500618e-07,0.0255783171026432,0.0225044679976533,Stim48hr
E2F1,23,23,-0.5146829849926103,0.6324780804093381,-1.2827978571261185,0.6851238451974461,0.0024515977950434,0.0260695896756988,0.0235666773187005,Stim8hr
E2F3,5,5,0.2269815481568919,0.7041916099297212,-0.4023983375165416,1.3427957577073255,0.0045190948309268,0.0211078440656403,0.0255576806756976,Rest
E2F3,4,4,0.3729515555079473,0.945408226090761,-0.5788316205326173,1.6811813427644604,2.7442306032543013e-08,0.0309933621161989,0.0413244736741633,Stim48hr
E2F3,17,17,0.1829919756693741,0.2813799397717857,-0.3765382286666466,0.6513670598052114,1.8693040986857652e-10,0.0206367722714316,0.0163393022699023,Stim8hr
E2F4,62,62,0.1611229304109454,0.841831171727815,-1.708951342587938,2.9408394171823127,7.88782813447485e-10,0.0206042223458979,0.019153172463578,Stim48hr
E2F5,1,1,2.0277211598912777,,2.0277211598912777,2.0277211598912777,0.0177516245805298,0.0177516245805298,0.0177516245805298,Stim48hr
E2F5,1,1,0.925464724294961,,0.925464724294961,0.925464724294961,0.0432704048222904,0.0432704048222904,0.0432704048222904,Stim8hr
E2F6,4,4,3.0647432009854345,1.4764813622959423,1.67688868362217,5.137912369261113,4.567372266180564e-08,1.1230627669026266e-05,6.759110328288925e-06,Rest
E2F6,16,16,1.6806642274204469,1.0256341728534115,0.2847179001042483,3.028763147612646,1.962368278212985e-34,0.0037583661604986,0.0002273272993043,Stim48hr
E2F6,4,4,1.555088209826409,1.157215190966305,0.5355756381270151,3.117647799448624,1.300494162519373e-09,0.0002796173314566,8.08643800870746e-05,Stim8hr
