source_TF,target_gene,log2FC,adj_p_value,p_value,zscore,culture_condition,n_guides_averaged
AHR,PHKA1,1.222738163699265,0.0112770650072125,0.0012151509576568,3.2352997333177416,Rest,1
AHR,PKM,0.3885827595956076,0.0166319885410917,0.0020317441805879,3.085552403545772,Rest,1
AHR,ROCK1,0.1047401603192898,0.0424079701838352,0.0079532298399204,2.654048908427891,Rest,1
AHR,HDAC4,-0.4136183830079216,0.0068078068894183,0.0006144919697211,-3.4251358969195325,Rest,1
AHR,RASSF1,-0.2330652838985649,0.0251938249775409,0.0037398372686706,-2.899311010175305,Rest,1
AHR,TTC7A,0.3170380693930074,5.583788463831792e-05,1.2117097779524608e-06,4.853713139249375,Rest,1
AHR,KIF2A,0.3016320823586971,4.788550375400926e-05,9.775957882275966e-07,4.8960954840786135,Rest,1
AHR,RASGRP2,-0.3665980025957537,6.289439690122495e-05,1.4236688850525151e-06,-4.821662200499943,Rest,1
AHR,PSME4,0.2622144417441112,0.0033852191302555,0.0002323977884365,3.680915753222249,Rest,1
AHR,PYGM,-0.836064494754746,0.0476998607029322,0.0094874830180025,-2.5939697638116264,Rest,1
AHR,TGFBR3,0.6274018824378786,0.0042528783661485,0.0003134662943153,3.603909457073177,Rest,1
AHR,ATP1B3,0.2081043534020297,0.0230658066231818,0.0032599788427301,2.942096915296319,Rest,1
AHR,MAPK6,0.2713160509464526,0.0394710086021888,0.0071809102732445,2.6883359861366283,Rest,1
AHR,GNB5,-0.5262085229205525,4.182004636492645e-07,3.5987693064944644e-09,-5.901653244443451,Rest,1
AHR,RAB27A,0.3746750595587385,0.0011249217960101,5.439945454468751e-05,4.035873792999294,Rest,1
AHR,SLC44A1,0.7993903678823506,0.038469249887935,0.006915901064878,2.7008668930376154,Rest,1
AHR,SMG6,-0.5836580890226837,3.4946816570902366e-08,2.2227888194007678e-10,-6.345101476322852,Rest,1
AHR,EXOC5,0.1208576318402925,0.0441964941890975,0.0084497893410133,2.633547991234446,Rest,1
AHR,WIPI1,0.6177445718373615,0.0003094897443978,1.0160967195176557e-05,4.413719335576861,Rest,1
